Contract_ID,Client,Leakage_Type,Service,Standard_Price,Contract_Price,Unit,Annual_Volume_Est,Annual_Loss_INR
ZCB/COM/2025/001,TechVision Industries,Negotiated Discount,ACH Origination,500.0,400.0,per file,5000,600000
ZCB/COM/2025/002,GlobalTrade Exporters,Expired Promotional,Intl Wire Transfer,850.0,750.0,per txn,200,25000
ZCB/COM/2025/003,IndiaManufacturing Solutions,Volume Commitment,Bank Guarantee,12500.0,10000.0,per guarantee,12,30000
ZCB/COM/2025/004,ConsumerGoods Trading,Missed Escalation,Account Maintenance,2500.0,2500.0,per month,12,2156
ZCB/COM/2025/005,FinanceHub Capital Markets,No Escalation Clause,Online Portal,1000.0,1000.0,per month,12,0
ZCB/COM/2025/006,PharmaLogistics Distribution,Tiered Pricing Mismatch,ACH Transactions,2.5,2.5,per txn,50000,0
ZCB/COM/2025/007,AutoComponents Manufacturing,Hidden Multi-Year Discount,LC Issuance,15000.0,13500.0,per LC,24,36000
ZCB/COM/2025/008,AgriTrade Export,Escalation Cap,NEFT Processing,25.0,25.0,per txn,10000,700000
ZCB/COM/2025/009,RetailChain Hypermarkets,Silent Discount Expiry,Sweep Account,3500.0,3150.0,per month,12,4200
ZCB/COM/2025/010,EnergySector Solutions,Conditional Tiered Pricing,Domestic Wire,100.0,100.0,per txn,500,0
ZCB/COM/2025/011,HealthcareServices Hospital,Frequency-Based Surcharge,LC Amendment,5000.0,5000.0,per amendment,20,0
ZCB/COM/2025/012,LogisticsExpress Courier,Concurrent Fee Ambiguity,ACH Fees,502.5,502.5,per txn,100000,0
ZCB/COM/2025/013,ITServices GlobalStaff,One-Time Fee Ambiguity,API Integration,25000.0,25000.0,one-time,1,0
ZCB/COM/2025/014,RealEstateInvest Property,Seasonal Minimum Fee,Minimum Activity,5000.0,5000.0,per month,12,60000
ZCB/COM/2025/015,EducationTech E-Learning,Mandatory Fee Misapplication,FATCA Screening,75.0,75.0,per txn,100,54000
