Contract_ID,Bank_Name,Client_Name,City,Contract_Duration,Contract_Value,Effective_Date,Pages,Anomaly_Type,Anomaly_1,Anomaly_2,Anomaly_3,Anomaly_4,Annual_Fee_Loss,3_Year_Fee_Loss,Difficulty,Detection_Task
ICICI/COM/2025/001,ICICI Commercial Bank,Reliance Industries Limited,Mumbai,3 years,150 Cr,2025-01-15,28-30,MULTIPLE,Hidden discount to ₹16000 for LC >₹50L,First 2 discrepancies per year free,Online portal fee frozen at ₹1500 (no escalation),API transaction fee fixed at ₹2.50 (no escalation),"₹2,15,000","₹6,45,000",High,"Extract conditional LC discount, identify free allowances, detect missing escalation on specific fees"
ICICI/COM/2025/002,ICICI Commercial Bank,Infosys Limited,Bangalore,2 years,120 Cr,2025-01-20,26-28,MULTIPLE,"Tiered ACH transaction pricing (<1000: ₹3.50, 1000-2000: ₹3.00, >3000: ₹2.50)",Promotional SWIFT rate ₹850 valid until Dec 31 2025,Minimum sweep fee ₹3500/month even if unused,N/A,"₹3,80,000","₹11,40,000",Very High,"Extract tiered pricing logic, identify time-limited discount, detect unconditional minimum fee"
ICICI/COM/2025/003,ICICI Commercial Bank,TCS (Tata Consultancy Services),Mumbai,3 years,180 Cr,2025-01-10,29-31,MULTIPLE,RTGS fee capped at ₹50 per month (unlimited after),First 20 cheques/month free; thereafter ₹45,"FATCA fee waived for amounts <$50,000",N/A,"₹2,95,000","₹8,85,000",Very High,"Identify monthly caps, free monthly allowances, amount-based conditional waivers"
ICICI/COM/2025/004,ICICI Commercial Bank,Wipro Technologies,Bangalore,3 years,160 Cr,2025-02-01,27-29,MULTIPLE,"Variable ACH file fees based on size (<100: ₹500, 100-500: ₹600, >500: ₹700)",NEFT escalation capped at ₹0.50/year (not 4.0%),LC discount to ₹16000 for volumes >5/quarter,API setup fee discounted to ₹30000 (from ₹35000),"₹2,58,000","₹7,74,000",Very High,"Extract file-size based tiering, identify capped escalation, detect volume-based discounts"
ICICI/COM/2025/005,ICICI Commercial Bank,Tech Mahindra Limited,Mumbai,3 years,140 Cr,2025-01-25,28-30,MULTIPLE,ACH transaction fee escalation completely waived (fixed at ₹3.50),"RTGS fee reduced to ₹50 (contract term only, reverts after)",SWIFT wire includes 50% correspondent charge waiver,Unlimited LC amendments included in annual maintenance,"₹3,42,000","₹10,26,000",High,"Identify missing escalation, detect temporary fee reduction, find bundled inclusions"
HDFC/COM/2025/001,HDFC Bank Limited,Bharti Airtel Limited,Mumbai,3 years,110 Cr,2025-01-20,26-28,PROMOTIONAL,ACH file fee promotional discount ₹400 until June 30 2025,N/A,N/A,N/A,"₹1,80,000","₹5,40,000",Medium,Identify time-limited promotional discount with reversion clause
HDFC/COM/2025/002,HDFC Bank Limited,HUL (Hindustan Unilever),Mumbai,3 years,95 Cr,2025-02-10,25-27,VOLUME_TIERED,"NEFT volume tiers: <500/month: ₹25, 500-1000: ₹20, >1000: ₹15",Account maintenance escalation capped at ₹100/year,N/A,N/A,"₹1,95,000","₹5,85,000",High,"Extract volume-tiered pricing, identify capped escalation"
HDFC/COM/2025/003,HDFC Bank Limited,Maruti Suzuki India,Gurugram,2 years,85 Cr,2025-01-15,24-26,FREQUENCY_BASED,"RTGS: first 100/month at ₹50, then ₹45 each",Standing instruction escalation waived for 2 years,N/A,N/A,"₹2,10,000","₹6,30,000",High,"Identify frequency-based thresholds, detect frozen escalation"
HDFC/COM/2025/004,HDFC Bank Limited,ICRA Limited,Mumbai,3 years,72 Cr,2025-01-30,25-28,BUNDLED_SERVICES,"Annual LC amendment limit: 10 free, 11-20 at ₹4000, >20 at double fee",API setup fee split: ₹15000 upfront + ₹7500 deferred for 6 months,N/A,N/A,"₹1,68,000","₹5,04,000",Very High,"Identify tiered amendment limits, detect split fee structure"
HDFC/COM/2025/005,HDFC Bank Limited,Nestlé India Limited,Mumbai,3 years,105 Cr,2025-02-05,27-29,CONDITIONAL_DISCOUNT,"Online portal fee: ₹1200 if <₹100Cr annual txn value, ₹1000 if >₹100Cr",SWIFT wire discount to ₹800 if >20 international txns/month,Sweep account escalation for first 18 months only,N/A,"₹2,35,000","₹7,05,000",Very High,"Identify transaction-value based pricing, volume-based discounts, duration-limited escalation"
SBI/COM/2025/001,State Bank of India,GAIL (India) Limited,New Delhi,3 years,65 Cr,2025-01-20,24-26,REGULATORY_COMPLIANCE,Account maintenance fee waived for government-owned entities,N/A,N/A,N/A,"₹24,000","₹72,000",Medium,Identify entity-type based exemption
SBI/COM/2025/002,State Bank of India,Coal India Limited,Kolkata,3 years,58 Cr,2025-02-10,23-25,ESCALATION_WAIVED,All fees frozen at catalogue rates for contract duration (0% escalation),N/A,N/A,N/A,"₹1,08,000","₹3,24,000",Medium,Identify missing escalation clause (contract-wide)
SBI/COM/2025/003,State Bank of India,NTPC Limited,New Delhi,2 years,75 Cr,2025-01-15,25-27,MINIMUM_THRESHOLD,"Minimum annual banking fee ₹2,50,000 (flat, regardless of activity)",N/A,N/A,N/A,"₹2,50,000","₹7,50,000",Medium,Identify unconditional minimum fee structure
SBI/COM/2025/004,State Bank of India,Power Grid Corporation,Gurugram,3 years,80 Cr,2025-02-01,26-28,MULTIPLE,ACH file fee reduced 25% for PSU clients (₹262.50 vs ₹350),RTGS fee escalation capped at ₹1 per year,N/A,N/A,"₹1,72,000","₹5,16,000",High,"Identify entity-type discount, detect capped escalation"
SBI/COM/2025/005,State Bank of India,Indian Oil Corporation,Mumbai,3 years,92 Cr,2025-01-25,27-29,BUNDLED_INCLUSION,First 500 NEFT transactions per month free; thereafter ₹20 each,LC negotiation fee waived (included in LC issuance),N/A,N/A,"₹2,88,000","₹8,64,000",High,"Identify monthly free allowance, detect bundled service inclusions"
AXIS/COM/2025/001,Axis Bank Limited,Bajaj Auto Limited,Pune,3 years,105 Cr,2025-01-15,26-28,EARLY_ADOPTER,5% discount on all fees for first 6 months,N/A,N/A,N/A,"₹1,95,000","₹5,85,000",Medium,Identify time-limited discount period with reversion
AXIS/COM/2025/002,Axis Bank Limited,Bosch Limited,Bangalore,2 years,78 Cr,2025-02-10,24-26,PERFORMANCE_LINKED,"ACH transaction fee: ₹2.50 if daily deposits >₹100Cr, else ₹2.75",N/A,N/A,N/A,"₹1,44,000","₹4,32,000",High,Identify balance-dependent fee triggers
AXIS/COM/2025/003,Axis Bank Limited,Crompton Greaves,Mumbai,3 years,88 Cr,2025-01-20,25-27,TIME_LIMITED,Account maintenance discount to ₹2200 valid Jan-Dec 2025 only,SWIFT wire fee discounted to ₹700 until June 30 2025,N/A,N/A,"₹2,28,000","₹6,84,000",High,Identify multiple promotional rates with different expiry dates
AXIS/COM/2025/004,Axis Bank Limited,Aurobindo Pharma,Hyderabad,3 years,98 Cr,2025-02-01,26-29,TIERED_ESCALATION,"Escalation Year 1: 2%, Year 2: 3%, Year 3: 4%",N/A,N/A,N/A,"₹2,50,000","₹7,50,000",High,Identify variable escalation rates by year
AXIS/COM/2025/005,Axis Bank Limited,Dr. Reddy's Laboratories,Hyderabad,3 years,115 Cr,2025-01-25,27-30,REBATE_STRUCTURE,"Annual rebate: if total fees >₹50L, rebate 5% on fees exceeding ₹50L",LC amendment fee escalation waived if amendments <5/year,N/A,N/A,"₹3,15,000","₹9,45,000",Very High,Identify rebate thresholds and volume-based escalation waivers
